VIA;CIVICO;CITTA;CAP
viale anelli;74;TORREGRANDE;09072
via errante;30;TORREGROTTA;98040
via lamberti;20;TORREMAGGIORE;71017
via weber;10;TORREMEZZO;87030
viale guarnieri;53;TORREMUZZA;98070
via tortorelle;85;TORRENIERI;53028
via alighieri;32;VERONA;37100
via falcone;15;ROMA;00100
via alighieri;3;ACATE;97011
via gerico;10;RODDI;12060
via lemani;7;RADICONDOLI;53030
via sterzing;72;POSITANO;84017
via lorenzini;45;PONCHIERA;23100
via apergher;26;OLEGGIO;28047
via tourette;79;NARZOLE;12068
via orlandi;112;MONTOGGIO;16026
via kennedi;12;VOLTRE;47010
viale neri;8;VILLETTE;28856
